timestamp,eye_rub_first_hand_report,eye_rub_first_hand_count,eye_rub_first_hand_durations,|,eye_rub_second_hand_report,eye_rub_second_hand_count,eye_rub_second_hand_durations,|,flicker_report,flicker_count,|,micro_sleep_report,micro_sleep_count,micro_sleep_durations,|,pitch_report,pitch_count,pitch_durations,|,yawn_report,yawn_count,yawn_durations
2024-08-20 20:44:29,False,0,[],|,False,0,[],|,False,0,|,True,4,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 80.0 seconds remaining.,[]
2024-08-20 20:44:43,False,0,[],|,False,0,[],|,False,0,|,True,5,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds', '5 micro sleep: 2.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 65.0 seconds remaining.,[]
2024-08-20 20:44:47,False,0,[],|,False,0,[],|,True,22,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 61.0 seconds remaining.,[]
2024-08-20 20:45:42,False,0,[],|,False,0,[],|,False,0,|,True,6,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds', '5 micro sleep: 2.0 seconds', '6 micro sleep: 5.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 6.0 seconds remaining.,[]
2024-08-20 20:45:47,False,0,[],|,False,0,[],|,True,21,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 1.0 seconds remaining.,[]
2024-08-20 20:45:48,False,0,[],|,False,0,[],|,False,Counting flickers... 59.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,2,"['1 yawn: 8.0 seconds', '2 yawn: 7.0 seconds']"
2024-08-20 20:45:48,False,0,[],|,False,0,[],|,False,0,|,True,7,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds', '5 micro sleep: 2.0 seconds', '6 micro sleep: 5.0 seconds', '7 micro sleep: 4.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 180.0 seconds remaining.,[]
2024-08-20 20:45:48,False,0,[],|,False,0,[],|,False,Counting flickers... 59.0 seconds remaining.,|,False,0,[],|,True,3,"['1 pitch: 11.0 seconds', '2 pitch: 9.0 seconds', '3 pitch: 4.0 seconds']",|,False,Counting yawns... 180.0 seconds remaining.,[]
2024-08-20 20:45:59,False,0,[],|,False,0,[],|,False,Counting flickers... 48.0 seconds remaining.,|,False,0,[],|,True,4,"['1 pitch: 11.0 seconds', '2 pitch: 9.0 seconds', '3 pitch: 4.0 seconds', '4 pitch: 8.0 seconds']",|,False,Counting yawns... 169.0 seconds remaining.,[]
2024-08-20 20:46:47,False,0,[],|,False,0,[],|,True,30,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 121.0 seconds remaining.,[]
2024-08-20 20:47:28,False,0,[],|,False,0,[],|,False,0,|,True,8,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds', '5 micro sleep: 2.0 seconds', '6 micro sleep: 5.0 seconds', '7 micro sleep: 4.0 seconds', '8 micro sleep: 2.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 80.0 seconds remaining.,[]
2024-08-20 20:47:31,False,0,[],|,False,0,[],|,False,0,|,True,9,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds', '5 micro sleep: 2.0 seconds', '6 micro sleep: 5.0 seconds', '7 micro sleep: 4.0 seconds', '8 micro sleep: 2.0 seconds', '9 micro sleep: 2.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 76.0 seconds remaining.,[]
2024-08-20 20:47:46,False,0,[],|,False,0,[],|,True,32,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 62.0 seconds remaining.,[]
2024-08-20 20:47:48,True,1,['1 right eye rub: 2.0 seconds'],|,True,0,[],|,False,Counting flickers... 58.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 60.0 seconds remaining.,[]
2024-08-20 20:47:58,False,0,[],|,False,0,[],|,False,0,|,True,10,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds', '5 micro sleep: 2.0 seconds', '6 micro sleep: 5.0 seconds', '7 micro sleep: 4.0 seconds', '8 micro sleep: 2.0 seconds', '9 micro sleep: 2.0 seconds', '10 micro sleep: 2.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 50.0 seconds remaining.,[]
2024-08-20 20:48:03,False,0,[],|,False,0,[],|,False,0,|,True,11,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds', '5 micro sleep: 2.0 seconds', '6 micro sleep: 5.0 seconds', '7 micro sleep: 4.0 seconds', '8 micro sleep: 2.0 seconds', '9 micro sleep: 2.0 seconds', '10 micro sleep: 2.0 seconds', '11 micro sleep: 3.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 45.0 seconds remaining.,[]
2024-08-20 20:48:30,False,0,[],|,False,0,[],|,False,0,|,True,12,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds', '4 micro sleep: 3.0 seconds', '5 micro sleep: 2.0 seconds', '6 micro sleep: 5.0 seconds', '7 micro sleep: 4.0 seconds', '8 micro sleep: 2.0 seconds', '9 micro sleep: 2.0 seconds', '10 micro sleep: 2.0 seconds', '11 micro sleep: 3.0 seconds', '12 micro sleep: 4.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 18.0 seconds remaining.,[]
2024-08-20 20:48:30,False,0,[],|,False,0,[],|,False,Counting flickers... 16.0 seconds remaining.,|,False,0,[],|,True,5,"['1 pitch: 11.0 seconds', '2 pitch: 9.0 seconds', '3 pitch: 4.0 seconds', '4 pitch: 8.0 seconds', '5 pitch: 4.0 seconds']",|,False,Counting yawns... 17.0 seconds remaining.,[]
2024-08-20 20:48:36,False,0,[],|,False,0,[],|,False,Counting flickers... 10.0 seconds remaining.,|,False,0,[],|,True,6,"['1 pitch: 11.0 seconds', '2 pitch: 9.0 seconds', '3 pitch: 4.0 seconds', '4 pitch: 8.0 seconds', '5 pitch: 4.0 seconds', '6 pitch: 4.0 seconds']",|,False,Counting yawns... 12.0 seconds remaining.,[]
2024-08-20 21:41:39,False,0,[],|,False,0,[],|,True,28,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 120.0 seconds remaining.,[]
2024-08-20 21:41:42,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 5.0 seconds'],|,False,Counting pitches...,[],|,False,Counting yawns... 117.0 seconds remaining.,[]
2024-08-20 21:41:47,False,0,[],|,False,0,[],|,False,0,|,True,2,"['1 micro sleep: 5.0 seconds', '2 micro sleep: 4.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 112.0 seconds remaining.,[]
2024-08-20 21:41:55,False,0,[],|,False,0,[],|,False,0,|,True,3,"['1 micro sleep: 5.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 7.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 104.0 seconds remaining.,[]
2024-08-20 21:41:56,False,0,[],|,False,0,[],|,False,Counting flickers... 44.0 seconds remaining.,|,False,0,[],|,True,1,['1 pitch: 12.0 seconds'],|,False,Counting yawns... 104.0 seconds remaining.,[]
2024-08-20 21:42:12,False,0,[],|,False,0,[],|,False,Counting flickers... 27.0 seconds remaining.,|,False,0,[],|,True,2,"['1 pitch: 12.0 seconds', '2 pitch: 9.0 seconds']",|,False,Counting yawns... 88.0 seconds remaining.,[]
2024-11-11 20:58:47,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 4.0 seconds'],|,False,Counting pitches...,[],|,False,Counting yawns... 154.0 seconds remaining.,[]
2024-11-11 20:58:48,False,0,[],|,False,0,[],|,False,Counting flickers... 34.0 seconds remaining.,|,False,0,[],|,True,1,['1 pitch: 4.0 seconds'],|,False,Counting yawns... 154.0 seconds remaining.,[]
2024-11-11 21:02:30,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 4.0 seconds'],|,False,Counting pitches...,[],|,False,Counting yawns... 147.0 seconds remaining.,[]
2024-11-11 21:02:42,False,0,[],|,False,0,[],|,False,0,|,True,2,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 4.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 136.0 seconds remaining.,[]
2024-11-11 21:02:42,False,0,[],|,False,0,[],|,False,Counting flickers... 16.0 seconds remaining.,|,False,0,[],|,True,1,['1 pitch: 4.0 seconds'],|,False,Counting yawns... 136.0 seconds remaining.,[]
2024-11-12 10:41:29,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 4.0 seconds'],|,False,Counting pitches...,[],|,False,Counting yawns... 160.0 seconds remaining.,[]
2024-11-12 10:41:37,False,0,[],|,False,0,[],|,False,0,|,True,2,"['1 micro sleep: 4.0 seconds', '2 micro sleep: 6.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 152.0 seconds remaining.,[]
2024-11-12 10:41:37,False,0,[],|,False,0,[],|,False,Counting flickers... 32.0 seconds remaining.,|,False,0,[],|,True,1,['1 pitch: 7.0 seconds'],|,False,Counting yawns... 152.0 seconds remaining.,[]
2024-12-06 18:58:48,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 2.0 seconds'],|,False,Counting pitches...,[],|,False,Counting yawns... 127.0 seconds remaining.,[]
2024-12-06 18:58:55,False,0,[],|,False,0,[],|,True,3,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 120.0 seconds remaining.,[]
2024-12-06 18:58:55,False,0,[],|,False,0,[],|,False,0,|,True,2,"['1 micro sleep: 2.0 seconds', '2 micro sleep: 4.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 120.0 seconds remaining.,[]
2024-12-06 18:58:56,False,0,[],|,False,0,[],|,False,Counting flickers... 59.0 seconds remaining.,|,False,0,[],|,True,1,['1 pitch: 4.0 seconds'],|,False,Counting yawns... 120.0 seconds remaining.,[]
2024-12-07 12:19:34,False,0,[],|,False,0,[],|,True,1,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 120.0 seconds remaining.,[]
2024-12-07 12:25:58,True,1,['1 right eye rub: 2.0 seconds'],|,True,0,[],|,True,1,|,False,0,[],|,False,Counting pitches...,[],|,True,0,[]
2025-11-20 21:37:19,False,0,[],|,False,0,[],|,False,0,|,True,1,['1 micro sleep: 2.0 seconds'],|,False,Counting pitches...,[],|,False,Counting yawns... 161.0 seconds remaining.,[]
2025-11-20 21:37:31,False,0,[],|,False,0,[],|,False,0,|,True,2,"['1 micro sleep: 2.0 seconds', '2 micro sleep: 2.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 149.0 seconds remaining.,[]
2025-11-20 21:37:49,False,0,[],|,False,0,[],|,False,Counting flickers... 11.0 seconds remaining.,|,False,0,[],|,True,1,['1 pitch: 15.0 seconds'],|,False,Counting yawns... 131.0 seconds remaining.,[]
2025-11-20 21:38:00,False,0,[],|,False,0,[],|,True,10,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 120.0 seconds remaining.,[]
2025-11-20 21:38:59,False,0,[],|,False,0,[],|,True,12,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 61.0 seconds remaining.,[]
2025-11-20 21:39:07,False,0,[],|,False,0,[],|,False,0,|,True,3,"['1 micro sleep: 2.0 seconds', '2 micro sleep: 2.0 seconds', '3 micro sleep: 3.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 54.0 seconds remaining.,[]
2025-11-20 21:39:17,False,0,[],|,False,0,[],|,False,0,|,True,4,"['1 micro sleep: 2.0 seconds', '2 micro sleep: 2.0 seconds', '3 micro sleep: 3.0 seconds', '4 micro sleep: 10.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 43.0 seconds remaining.,[]
2025-11-20 21:39:48,False,0,[],|,False,0,[],|,False,Counting flickers... 12.0 seconds remaining.,|,False,0,[],|,True,2,"['1 pitch: 15.0 seconds', '2 pitch: 9.0 seconds']",|,False,Counting yawns... 13.0 seconds remaining.,[]
2025-11-20 21:39:59,False,0,[],|,False,0,[],|,True,6,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 1.0 seconds remaining.,[]
2025-11-20 21:40:00,False,0,[],|,False,0,[],|,False,Counting flickers... 59.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,0,[]
2025-11-20 21:40:13,False,0,[],|,False,0,[],|,False,Counting flickers... 45.0 seconds remaining.,|,False,0,[],|,True,3,"['1 pitch: 15.0 seconds', '2 pitch: 9.0 seconds', '3 pitch: 19.0 seconds']",|,False,Counting yawns... 166.0 seconds remaining.,[]
2025-11-20 21:44:00,False,0,[],|,False,0,[],|,True,3,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 10.0 seconds remaining.,[]
2025-11-20 21:44:10,False,0,[],|,False,0,[],|,False,Counting flickers... 50.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,0,[]
2025-11-20 21:44:40,False,0,[],|,False,0,[],|,False,Counting flickers... 20.0 seconds remaining.,|,False,0,[],|,True,1,['1 pitch: 6.0 seconds'],|,False,Counting yawns... 150.0 seconds remaining.,[]
2025-11-20 21:45:11,False,0,[],|,False,0,[],|,True,14,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 118.0 seconds remaining.,[]
2025-11-20 21:45:21,False,0,[],|,False,0,[],|,False,Counting flickers... 51.0 seconds remaining.,|,False,0,[],|,True,2,"['1 pitch: 6.0 seconds', '2 pitch: 37.0 seconds']",|,False,Counting yawns... 109.0 seconds remaining.,[]
2025-11-20 21:46:09,True,0,[],|,True,0,[],|,False,Counting flickers... 2.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 60.0 seconds remaining.,[]
2025-11-20 21:46:11,False,0,[],|,False,0,[],|,True,9,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 59.0 seconds remaining.,[]
2025-11-20 21:47:09,False,0,[],|,False,0,[],|,False,Counting flickers... 2.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,0,[]
2025-11-20 21:47:10,False,0,[],|,False,0,[],|,True,9,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 179.0 seconds remaining.,[]
2025-11-20 21:47:39,False,0,[],|,False,0,[],|,False,0,|,True,2,"['1 micro sleep: 114.0 seconds', '2 micro sleep: 4.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 150.0 seconds remaining.,[]
2025-11-20 21:47:42,False,0,[],|,False,0,[],|,False,0,|,True,3,"['1 micro sleep: 114.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 3.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 147.0 seconds remaining.,[]
2025-11-20 21:48:02,False,0,[],|,False,0,[],|,False,0,|,True,4,"['1 micro sleep: 114.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 3.0 seconds', '4 micro sleep: 20.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 127.0 seconds remaining.,[]
2025-11-20 21:48:03,False,0,[],|,False,0,[],|,False,Counting flickers... 7.0 seconds remaining.,|,False,0,[],|,True,3,"['1 pitch: 6.0 seconds', '2 pitch: 37.0 seconds', '3 pitch: 27.0 seconds']",|,False,Counting yawns... 126.0 seconds remaining.,[]
2025-11-20 21:48:10,False,0,[],|,False,0,[],|,True,11,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 119.0 seconds remaining.,[]
2025-11-20 21:48:51,False,0,[],|,False,0,[],|,False,0,|,True,5,"['1 micro sleep: 114.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 3.0 seconds', '4 micro sleep: 20.0 seconds', '5 micro sleep: 7.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 78.0 seconds remaining.,[]
2025-11-20 21:48:53,False,0,[],|,False,0,[],|,False,0,|,True,6,"['1 micro sleep: 114.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 3.0 seconds', '4 micro sleep: 20.0 seconds', '5 micro sleep: 7.0 seconds', '6 micro sleep: 2.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 76.0 seconds remaining.,[]
2025-11-20 21:49:09,False,0,[],|,False,0,[],|,True,10,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 60.0 seconds remaining.,[]
2025-11-20 21:49:27,False,0,[],|,False,0,[],|,False,0,|,True,7,"['1 micro sleep: 114.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 3.0 seconds', '4 micro sleep: 20.0 seconds', '5 micro sleep: 7.0 seconds', '6 micro sleep: 2.0 seconds', '7 micro sleep: 5.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 43.0 seconds remaining.,[]
2025-11-20 21:49:37,False,0,[],|,False,0,[],|,False,0,|,True,8,"['1 micro sleep: 114.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 3.0 seconds', '4 micro sleep: 20.0 seconds', '5 micro sleep: 7.0 seconds', '6 micro sleep: 2.0 seconds', '7 micro sleep: 5.0 seconds', '8 micro sleep: 3.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 32.0 seconds remaining.,[]
2025-11-20 21:50:09,False,0,[],|,False,0,[],|,False,Counting flickers... 1.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,True,0,[]
2025-11-20 21:50:09,False,0,[],|,False,0,[],|,True,8,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 180.0 seconds remaining.,[]
2025-11-20 21:50:13,False,0,[],|,False,0,[],|,False,Counting flickers... 55.0 seconds remaining.,|,False,0,[],|,True,4,"['1 pitch: 6.0 seconds', '2 pitch: 37.0 seconds', '3 pitch: 27.0 seconds', '4 pitch: 39.0 seconds']",|,False,Counting yawns... 175.0 seconds remaining.,[]
2025-11-20 21:50:21,False,0,[],|,False,0,[],|,False,0,|,True,9,"['1 micro sleep: 114.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 3.0 seconds', '4 micro sleep: 20.0 seconds', '5 micro sleep: 7.0 seconds', '6 micro sleep: 2.0 seconds', '7 micro sleep: 5.0 seconds', '8 micro sleep: 3.0 seconds', '9 micro sleep: 2.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 167.0 seconds remaining.,[]
2025-11-20 21:50:37,False,0,[],|,False,0,[],|,False,0,|,True,10,"['1 micro sleep: 114.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 3.0 seconds', '4 micro sleep: 20.0 seconds', '5 micro sleep: 7.0 seconds', '6 micro sleep: 2.0 seconds', '7 micro sleep: 5.0 seconds', '8 micro sleep: 3.0 seconds', '9 micro sleep: 2.0 seconds', '10 micro sleep: 9.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 152.0 seconds remaining.,[]
2025-11-20 21:50:47,False,0,[],|,False,0,[],|,False,0,|,True,11,"['1 micro sleep: 114.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 3.0 seconds', '4 micro sleep: 20.0 seconds', '5 micro sleep: 7.0 seconds', '6 micro sleep: 2.0 seconds', '7 micro sleep: 5.0 seconds', '8 micro sleep: 3.0 seconds', '9 micro sleep: 2.0 seconds', '10 micro sleep: 9.0 seconds', '11 micro sleep: 9.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 142.0 seconds remaining.,[]
2025-11-20 21:51:03,False,0,[],|,False,0,[],|,False,0,|,True,12,"['1 micro sleep: 114.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 3.0 seconds', '4 micro sleep: 20.0 seconds', '5 micro sleep: 7.0 seconds', '6 micro sleep: 2.0 seconds', '7 micro sleep: 5.0 seconds', '8 micro sleep: 3.0 seconds', '9 micro sleep: 2.0 seconds', '10 micro sleep: 9.0 seconds', '11 micro sleep: 9.0 seconds', '12 micro sleep: 3.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 125.0 seconds remaining.,[]
2025-11-20 21:51:09,False,0,[],|,False,0,[],|,True,14,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 120.0 seconds remaining.,[]
2025-11-20 21:51:09,True,0,[],|,True,0,[],|,False,Counting flickers... 59.0 seconds remaining.,|,False,0,[],|,False,Counting pitches...,[],|,False,Counting yawns... 120.0 seconds remaining.,[]
2025-11-20 21:51:29,False,0,[],|,False,0,[],|,False,0,|,True,13,"['1 micro sleep: 114.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 3.0 seconds', '4 micro sleep: 20.0 seconds', '5 micro sleep: 7.0 seconds', '6 micro sleep: 2.0 seconds', '7 micro sleep: 5.0 seconds', '8 micro sleep: 3.0 seconds', '9 micro sleep: 2.0 seconds', '10 micro sleep: 9.0 seconds', '11 micro sleep: 9.0 seconds', '12 micro sleep: 3.0 seconds', '13 micro sleep: 5.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 100.0 seconds remaining.,[]
2025-11-20 21:51:35,False,0,[],|,False,0,[],|,False,0,|,True,14,"['1 micro sleep: 114.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 3.0 seconds', '4 micro sleep: 20.0 seconds', '5 micro sleep: 7.0 seconds', '6 micro sleep: 2.0 seconds', '7 micro sleep: 5.0 seconds', '8 micro sleep: 3.0 seconds', '9 micro sleep: 2.0 seconds', '10 micro sleep: 9.0 seconds', '11 micro sleep: 9.0 seconds', '12 micro sleep: 3.0 seconds', '13 micro sleep: 5.0 seconds', '14 micro sleep: 5.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 93.0 seconds remaining.,[]
2025-11-20 21:51:50,False,0,[],|,False,0,[],|,False,0,|,True,15,"['1 micro sleep: 114.0 seconds', '2 micro sleep: 4.0 seconds', '3 micro sleep: 3.0 seconds', '4 micro sleep: 20.0 seconds', '5 micro sleep: 7.0 seconds', '6 micro sleep: 2.0 seconds', '7 micro sleep: 5.0 seconds', '8 micro sleep: 3.0 seconds', '9 micro sleep: 2.0 seconds', '10 micro sleep: 9.0 seconds', '11 micro sleep: 9.0 seconds', '12 micro sleep: 3.0 seconds', '13 micro sleep: 5.0 seconds', '14 micro sleep: 5.0 seconds', '15 micro sleep: 14.0 seconds']",|,False,Counting pitches...,[],|,False,Counting yawns... 79.0 seconds remaining.,[]
